type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
measure,106,OWaistSmallFrontHeight,True,112.61,,,
measure,107,OWaistSmallBackHeight,True,113.28,,,
measure,108,OWaistSmallLeftHeight,True,113.1,,,
measure,109,OWaistSmallRightHeight,True,113.18,,,
measure,110,OptimizedFormulaWaistTape,True,84.64,,,
measure,111,OWaistFormulaFrontHeight,True,107.44,,,
measure,112,OWaistFormulaBackHeight,True,108.91,,,
measure,113,OWaistFormulaLeftHeight,True,108.51,,,
measure,114,OWaistFormulaRightHeight,True,108.46,,,
measure,115,ForearmCircumferenceLeft,True,28.48,,,
measure,116,ForearmCircumferenceRight,True,28.01,,,
measure,117,FrontHipTapeMeasure,True,47.55,,,
measure,118,FrontWaistTapeMeasure,True,40.98,,,
measure,119,HorizontalWaistHeight,True,108.6,,,
measure,120,MinLowerLegHeightLeft,True,14.62,,,
measure,121,MinLowerLegHeightRight,True,14.47,,,
measure,122,ElbowCircTapeMeasureLeft,True,29.11,,,
measure,123,ElbowCircTapeMeasureRight,True,28.81,,,
measure,124,ElbowHeightLeft,True,118.43,,,
measure,125,ElbowHeightRight,True,115.74,,,
measure,126,ThighHeightLeft,True,79.41,,,
measure,127,ThighHeightRight,True,79.41,,,
measure,128,ChinHeight,True,161.03,,,
measure,129,BustProminenceLeft,True,21.65,,,
measure,130,BustProminenceRight,True,21.48,,,
measure,131,CervicaleToBustPointLeft,True,36.88,,,
measure,132,CervicaleToBustPointRight,True,36.36,,,
measure,133,AxillaChestCircTapeMeasure,True,103.4,,,
measure,134,SideBackWaistToFloorLeft,True,109.54,,,
measure,135,SideBackWaistToFloorRight,True,109.56,,,
measure,136,MidShoulderHeightLeft,True,155.42,,,
measure,137,MidShoulderHeightRight,True,154.56,,,
measure,138,VerticalTrunkCircumferenceLeft,True,174.12,,,
measure,139,VerticalTrunkCircumferenceRight,True,173.17,,,
measure,140,AcrossAxillaChestFrontLength,True,53.86,,,
measure,141,AcrossAxillaChestBackLength,True,49.46,,,
measure,142,HeadCircumference,True,61.11,,,
measure,143,MidShoulderToWaistLengthLeft,True,49.12,,,
measure,144,MidShoulderToWaistLengthRight,True,48.54,,,
measure,145,HingedUpperBustCircumference,True,105.99,,,
measure,146,HingedBustCircumference,True,104.24,,,
measure,147,FrontShoulderWidth,True,41.95,,,
measure,148,WaistAt50,True,82.22,,,
measure,149,HighHip,True,94.65,,,
measure,150,HighHiptoSOBOPTWaist,True,11.71,,,
measure,151,LowHip,True,101.67,,,
measure,152,LowHiptoSOBOPTWaist,True,23.12,,,
measure,153,Hips8InchDown,True,99.94,,,
measure,154,HipsAtCrotchPlus2Inch,True,100.15,,,
measure,155,MidShoulderToBustLeft,True,25.06,,,
measure,156,MidShoulderToBustRight,True,24.39,,,
measure,157,Halter,True,82.98,,,
measure,158,BackShoulderWidth45,True,40.04,,,
measure,159,BackShoulderWidthOverNeck,True,40.2,,,
measure,160,ShoulderArcLeft,True,54.71,,,
measure,161,ShoulderArcRight,True,54.28,,,
measure,162,BackVerticalRise,True,28.58,,,
measure,163,UpperBustFrontLength,True,44.54,,,
measure,164,BustVolumeLeft,True,319.92,,,
measure,165,BustVolumeRight,True,333.44,,,
measure,166,BustSurfaceAreaLeft,True,271.51,,,
measure,167,BustSurfaceAreaRight,True,288.14,,,
measure,168,ShoulderCircumference,True,113.99,,,
measure,169,ShoulderCirHeight,True,146.56,,,
measure,170,ArmCircumferenceOuterLeft,True,52.21,,,
measure,171,ArmCircumferenceOuterRight,True,52.72,,,
measure,172,ActualAnkleCircumferenceLeft,True,23.34,,,
measure,173,ActualAnkleCircumferenceRight,True,24.88,,,
measure,174,ActualKneeCircumferenceLeft,True,39.43,,,
measure,175,ActualKneeCircumferenceRight,True,39.4,,,
measure,176,ActualMidThighCircumferenceLeft,True,46.95,,,
measure,177,ActualMidThighCircumferenceRight,True,47.01,,,
measure,178,AcrossChestArmToArm,True,34.93,,,
measure,179,FrontCrotchLength,True,38.57,,,
measure,180,BackCrotchLength,True,37.36,,,
measure,181,NeckCircumferenceFL,True,12.99,,,
measure,182,NeckCircumferenceFR,True,12.71,,,
measure,183,NeckCircumferenceBL,True,9.83,,,
measure,184,NeckCircumferenceBR,True,10.21,,,
measure,185,ChestCircumTapeMeasureFL,True,26.4,,,
measure,186,ChestCircumTapeMeasureFR,True,26.75,,,
measure,187,ChestCircumTapeMeasureBL,True,24.95,,,
